tax_num,avg_tax_incm,fine_code,fine_name
184,35526.8532608696,94193, Motor Vehicle Muffler and Exhaust Repair and Service
11098,48073.5409983781,94199, Other Automotive Repair and Maintenance
1422,44036.2925457103,94210, Domestic Appliance Repair and Maintenance
1422,42637.4092827004,94220, Electronic (except Domestic Appliance) and Precision Equipment Repair and Maintenance
1453,56201.19889883,94290, Other Machinery and Equipment Repair and Maintenance
582,26510.4347079038,94910, Clothing and Footwear Repair
6737,40206.8724951759,94990, Other Repair and Maintenance n.e.c.
37098,31796.3208259205,95110, Hairdressing and Beauty Services
335,42196.0059701493,95120, Diet and Weight Reduction Centre Operation
299,49253.4080267559,95200," Funeral, Crematorium and Cemetery Services"
2703,31709.1135775065,95310, Laundry and Dry-Cleaning Services
679,45357.9425625921,95320, Photographic Film Processing
39,58448.9743589744,95330, Parking Services
363,35827.2203856749,95340, Brothel Keeping and Prostitution Services
405,32389.8049382716,95391, Fortune Telling and Similar Services
70,40645.7,95392, Introduction Agency Services
7193,27090.1701654386,95393, Child Minding (Babysitting in the Home)
26859,41440.6851707063,95399, Other Personal Services n.e.c.
379,33199.8865435356,95400, Religious Services
2940,69932.287414966,95510, Business and Professional Association Services
734,35359.9604904632,95520, Labour Association Services
337,44917.175074184,95599, Other Interest Group Services n.e.c.
86,30182.3837209302,96010, Private Households Employing Staff
18,45318.1666666667,96020, Undifferentiated Goods-Producing Activities of Private Households for Own Use
102,39212.3725490196,96030, Undifferentiated Service-Producing Activities of Private Households for Own Use
12768530,62299.7460445329,Other, individuals
33599,63219.687371648,Other,""
